25 Trailers 115024,,,,,Loan #,,,Beginning Loan,"  1,394,900.00 ",,,,,,,,,,,,,
,,,,,Invoice#,115024,,Downpayment,  -   ,,,,,,,,,,,,,
Debt Schedule-Master'!A1,,,,,Princ GL,05-2983-001-000-00,,,,,,,,,,,,,,,,
'Rolling Debt Schedule'!A1,,,,,,,,,,,,,,,,,,,,,,
Loan #:,,,,# of Payments,,,,,,,,,,,,,,,,,,
Billing ID:,,,,60,,7.70%,,,,,,,,,,,,From Loan Docs,,,,
,,,,Payment,Princ,Int,"  1,394,900.00 ",Beg Bal - Downpayment,,,,,,,,,1,2/21/2026,"28,154.00","9,250.28","18,903.72","1,375,996.28"
,,,,"$28,154.00 ",,,,,,,,,,,,,2,3/21/2026,"28,154.00","8,241.86","19,912.14","1,356,084.14"
Jan26,1/21/2026,,,,,,"  1,394,900.00 ",,,,,,,,,,3,4/21/2026,"28,154.00","8,992.87","19,161.13","1,336,923.01"
Feb26,2/21/2026,,1,"  28,154.00 ","$18,903.72 ","  9,250.28 ","  1,375,996.28 ",,,,,,,,,,4,5/21/2026,"28,154.00","8,579.81","19,574.19","1,317,348.82"
Mar26,3/21/2026,,2,"  28,154.00 ","$19,912.14 ","  8,241.86 ","  1,356,084.14 ",,,,,,,,,,5,6/21/2026,"28,154.00","8,736.00","19,418.00","1,297,930.82"
Apr26,4/21/2026,,3,"  28,154.00 ","$19,161.13 ","  8,992.87 ","  1,336,923.01 ",,,,,,,,,,6,7/21/2026,"28,154.00","8,329.57","19,824.43","1,278,106.90"
May26,5/21/2026,,4,"  28,154.00 ","$19,574.19 ","  8,579.81 ","  1,317,348.82 ",,,,,,,,,,7,8/21/2026,"28,154.00","8,475.76","19,678.24","1,258,428.15"
Jun26,6/21/2026,,5,"  28,154.00 ","$19,418.00 ","  8,736.00 ","  1,297,930.82 ",,,,,,,,,,8,9/21/2026,"28,154.00","8,345.26","19,808.74","1,238,619.41"
Jul26,7/21/2026,,6,"  28,154.00 ","$19,824.43 ","  8,329.57 ","  1,278,106.39 ",,,,,,,,,,9,10/21/2026,"28,154.00","7,948.94","20,205.06","1,218,414.35"
Aug26,8/21/2026,,7,"  28,154.00 ","$19,678.24 ","  8,475.76 ","  1,258,428.15 ",,,,,,,,,,10,11/21/2026,"28,154.00","8,079.91","20,074.09","1,198,340.26"
Sep26,9/21/2026,,8,"  28,154.00 ","$19,808.74 ","  8,345.26 ","  1,238,619.41 ",,,,,,,,,,11,12/21/2026,"28,154.00","7,690.44","20,463.56","1,177,876.70"
Oct26,10/21/2026,,9,"  28,154.00 ","$20,205.06 ","  7,948.94 ","  1,218,414.35 ",,,,,,,,,,12,1/21/2027,"28,154.00","7,811.09","20,342.91","1,157,533.79"
Nov26,11/21/2026,,10,"  28,154.00 ","$20,074.09 ","  8,079.91 ","  1,198,340.26 ",,,,,,,,,,13,2/21/2027,"28,154.00","7,676.18","20,477.82","1,137,055.97"
Dec26,12/21/2026,,11,"  28,154.00 ","$20,463.56 ","  7,690.44 ","  1,177,876.70 ",,,,,,,,,,14,3/21/2027,"28,154.00","6,810.67","21,343.33","1,115,712.64"
Jan27,1/21/2027,,12,"  28,154.00 ","$20,342.91 ","  7,811.09 ","  1,157,533.79 ",,,,,,,,,,15,4/21/2027,"28,154.00","7,398.85","20,755.15","1,094,957.49"
Feb27,2/21/2027,,13,"  28,154.00 ","$20,477.82 ","  7,676.18 ","  1,137,055.97 ",,,,,,,,,,16,5/21/2027,"28,154.00","7,026.98","21,127.02","1,073,830.47"
Mar27,3/21/2027,,14,"  28,154.00 ","$21,343.33 ","  6,810.67 ","  1,115,712.64 ",,,,,,,,,,17,6/21/2027,"28,154.00","7,121.11","21,032.89","1,052,797.58"
Apr27,4/21/2027,,15,"  28,154.00 ","$20,755.15 ","  7,398.85 ","  1,094,957.49 ",,,,,,,,,,18,7/21/2027,"28,154.00","6,756.41","21,397.59","1,031,399.99"
May27,5/21/2027,,16,"  28,154.00 ","$21,127.02 ","  7,026.98 ","  1,073,830.47 ",,,,,,,,,,19,8/21/2027,"28,154.00","6,839.73","21,314.27","1,010,085.72"
Jun27,6/21/2027,,17,"  28,154.00 ","$21,032.89 ","  7,121.11 ","  1,052,797.58 ",,,,,,,,,,20,9/21/2027,"28,154.00","6,698.38","21,455.62","988,630.10"
Jul27,7/21/2027,,18,"  28,154.00 ","$21,397.59 ","  6,756.41 ","  1,031,399.99 ",,,,,,,,,,21,10/21/2027,"28,154.00","6,344.61","21,809.39","966,820.71"
Aug27,8/21/2027,,19,"  28,154.00 ","$21,314.27 ","  6,839.73 ","  1,010,085.72 ",,,,,,,,,,22,11/21/2027,"28,154.00","6,411.47","21,742.53","945,078.18"
Sep27,9/21/2027,,20,"  28,154.00 ","$21,455.62 ","  6,698.38 ","  988,630.10 ",,,,,,,,,,23,12/21/2027,"28,154.00","6,065.11","22,088.89","922,989.29"
Oct27,10/21/2027,,21,"  28,154.00 ","$21,809.39 ","  6,344.61 ","  966,820.71 ",,,,,,,,,,24,1/21/2028,"28,154.00","6,120.80","22,033.20","900,956.09"
Nov27,11/21/2027,,22,"  28,154.00 ","$21,742.53 ","  6,411.47 ","  945,078.18 ",,,,,,,,,,25,2/21/2028,"28,154.00","5,974.69","22,179.31","878,776.78"
Dec27,12/21/2027,,23,"  28,154.00 ","$22,088.89 ","  6,065.11 ","  922,989.29 ",,,,,,,,,,26,3/21/2028,"28,154.00","5,451.63","22,702.37","856,074.41"
Jan28,1/21/2028,,24,"  28,154.00 ","$22,033.20 ","  6,120.80 ","  900,956.09 ",,,,,,,,,,27,4/21/2028,"28,154.00","5,677.06","22,476.94","833,597.47"
Feb28,2/21/2028,,25,"  28,154.00 ","$22,179.31 ","  5,974.69 ","  878,776.78 ",,,,,,,,,,28,5/21/2028,"28,154.00","5,349.68","22,804.32","810,793.15"
Mar28,3/21/2028,,26,"  28,154.00 ","$22,702.37 ","  5,451.63 ","  856,074.41 ",,,,,,,,,,29,6/21/2028,"28,154.00","5,376.77","22,777.23","788,015.92"
Apr28,4/21/2028,,27,"  28,154.00 ","$22,476.94 ","  5,677.06 ","  833,597.47 ",,,,,,,,,,30,7/21/2028,"28,154.00","5,057.15","23,096.85","764,919.07"
May28,5/21/2028,,28,"  28,154.00 ","$22,804.32 ","  5,349.68 ","  810,793.15 ",,,,,,,,,,31,8/21/2028,"28,154.00","5,072.56","23,081.44",741837.63
Jun28,6/21/2028,,29,"  28,154.00 ","$22,777.23 ","  5,376.77 ","  788,015.92 ",,,,,,,,,,32,9/21/2028,"28,154.00","4,919.50","23,234.50","718,603.13"
Jul28,7/21/2028,,30,"  28,154.00 ","$23,096.85 ","  5,057.15 ","  764,919.07 ",,,,,,,,,,33,10/21/2028,"28,154.00","4,612","23,542.31","695,060.82"
Aug28,8/21/2028,,31,"  28,154.00 ","$23,081.44 ","  5,072.56 ","  741,837.63 ",,,,,,,,,,34,11/21/2028,"28,154.00","4,609.29","23,544.71",671516.11
Sep28,9/21/2028,,32,"  28,154.00 ","$23,234.50 ","  4,919.50 ","  718,603.13 ",,,,,,,,,,35,12/21/2028,"28,154.00","4,309.51","23,844.49","647,671.62"
Oct28,10/21/2028,,33,"  28,154.00 ","$23,542.31 ","  4,611.69 ","  695,060.82 ",,,,,,,,,,36,1/21/2029,"28,154.00","4,295.03","23,858.97","623,812.65"
Nov28,11/21/2028,,34,"  28,154.00 ","$23,544.71 ","  4,609.29 ","  671,516.11 ",,,,,,,,,,37,2/21/2029,"28,154.00","4,136.81","24,017.19","599,795.46"
Dec28,12/21/2028,,35,"  28,154.00 ","$23,844.49 ","  4,309.51 ","  647,671.62 ",,,,,,,,,,38,3/21/2029,"28,154.00","3,592.62","24,561","575,234.08"
Jan29,1/21/2029,,36,"  28,154.00 ","$23,858.97 ","  4,295.03 ","  623,812.65 ",,,,,,,,,,39,4/21/2029,"28,154.00","3,814.66","24,339.34","550,894.74"
Feb29,2/21/2029,,37,"  28,154.00 ","$24,017.19 ","  4,136.81 ","  599,795.46 ",,,,,,,,,,40,5/21/2029,"28,154.00","3,535.41","24,618.59","526,276.15"
Mar29,3/21/2029,,38,"  28,154.00 ","$24,561.38 ","  3,592.62 ","  575,234.08 ",,,,,,,,,,41,6/21/2029,"28,154.00","3,490.00","24,664.00","501,612.15"
Apr29,4/21/2029,,39,"  28,154.00 ","$24,339.34 ","  3,814.66 ","  550,894.74 ",,,,,,,,,,42,7/21/2029,"28,154.00","3,219.14","24,934.86","476,677.29"
May29,5/21/2029,,40,"  28,154.00 ","$24,618.59 ","  3,535.41 ","  526,276.15 ",,,,,,,,,,43,8/21/2029,"28,154.00","3,161.08","24,992.92","451,684.37"
Jun29,6/21/2029,,41,"  28,154.00 ","$24,664.00 ","  3,490.00 ","  501,612.15 ",,,,,,,,,,44,9/21/2029,"28,154.00","2,995.34","25,158.66","426,525.71"
Jul29,7/21/2029,,42,"  28,154.00 ","$24,934.86 ","  3,219.14 ","  476,677.29 ",,,,,,,,,,45,10/21/2029,"28,154.00","2,737.26","25,416.74","401,108.97"
Aug29,8/21/2029,,43,"  28,154.00 ","$24,992.92 ","  3,161.08 ","  451,684.37 ",,,,,,,,,,46,11/21/2029,"28,154.00","2,659.95","25,494.05","375,614.92"
Sep29,9/21/2029,,44,"  28,154.00 ","$25,158.66 ","  2,995.34 ","  426,525.71 ",,,,,,,,,,47,12/21/2029,"28,154.00","2,410.54","25,743.46","349,871.46"
Oct29,10/21/2029,,45,"  28,154.00 ","$25,416.74 ","  2,737.26 ","  401,108.97 ",,,,,,,,,,48,1/21/2030,"28,154.00","2,320.17","25,833.83","324,037.63"
Nov29,11/21/2029,,46,"  28,154.00 ","$25,494.05 ","  2,659.95 ","  375,614.92 ",,,,,,,,,,49,2/21/2030,"28,154.00","2,148.86","26,005.14","298,032.49"
Dec29,12/21/2029,,47,"  28,154.00 ","$25,743.46 ","  2,410.54 ","  349,871.46 ",,,,,,,,,,50,3/21/2030,"28,154.00","1,785.14","26,368.86",271663.63
Jan30,1/21/2030,,48,"  28,154.00 ","$25,833.83 ","  2,320.17 ","  324,037.63 ",,,,,,,,,,51,4/21/2030,"28,154.00","1,801.54","26,352.46","245,311"
Feb30,2/21/2030,,49,"  28,154.00 ","$26,005.14 ","  2,148.86 ","  298,032.49 ",,,,,,,,,,52,5/21/2030,"28,154.00","1,574.30","26,579.70","218,731.47"
Mar30,3/21/2030,,50,"  28,154.00 ","$26,368.86 ","  1,785.14 ","  271,663.63 ",,,,,,,,,,53,6/21/2030,"28,154.00","1,450.52","26,703.48","192,027.99"
Apr30,4/21/2030,,51,"  28,154.00 ","$26,352.46 ","  1,801.54 ","  245,311.17 ",,,,,,,,,,54,7/21/2030,"28,154.00","1,232.35","26,921.65","165,106.34"
May30,5/21/2030,,52,"  28,154.00 ","$26,579.70 ","  1,574.30 ","  218,731.47 ",,,,,,,,,,55,8/21/2030,"28,154.00","1,094.90","27,059.10","138,047.24"
Jun30,6/21/2030,,53,"  28,154.00 ","$26,703.48 ","  1,450.52 ","  192,027.99 ",,,,,,,,,,56,9/21/2030,"28,154.00",915.46,"27,238.54","110,808.70"
Jul30,7/21/2030,,54,"  28,154.00 ","$26,921.65 ","  1,232.35 ","  165,106.34 ",,,,,,,,,,57,10/21/2030,"28,154.00",711.12,"27,442.88","83,365.82"
Aug30,8/21/2030,,55,"  28,154.00 ","$27,059.10 ","  1,094.90 ","  138,047.24 ",,,,,,,,,,58,11/21/2030,"28,154.00",552.84,"27,601.16","55,764.66"
Sep30,9/21/2030,,56,"  28,154.00 ","$27,238.54 ",  915.46 ,"  110,808.70 ",,,,,,,,,,59,12/21/2030,"28,154.00",357.87,"27,796.13","27,968.53"
Oct30,10/21/2030,,57,"  28,154.00 ","$27,442.88 ",  711.12 ,"  83,365.82 ",,,,,,,,,,60,1/21/2031,"28,154.00",185.47,"27,968.53",0
Nov30,11/21/2030,,58,"  28,154.00 ","$27,601.16 ",  552.84 ,"  55,764.66 ",,,,,,,,,,,,,,,
Dec30,12/21/2030,,59,"  28,154.00 ","$27,796.13 ",  357.87 ,"  27,968.53 ",,,,,,,,,,,,,,,
Jan31,1/21/2031,,60,"  28,154.00 ","$27,968.53 ",  185.47 ,  0.00 ,,,,,,,,,,,,,,,
Feb31,2/21/2031,,61,  -   ,$0.00 ,  -   ,  0.00 ,,,,,,,,,,,,,,,
Mar31,3/21/2031,,62,  -   ,$0.00 ,  -   ,  0.00 ,,,,,,,,,,,,,,,
Apr31,4/21/2031,,63,  -   ,$0.00 ,  -   ,  0.00 ,,,,,,,,,,,,,,,
May31,5/21/2031,,64,  -   ,$0.00 ,  -   ,  0.00 ,,,,,,,,,,,,,,,
Jun31,6/21/2031,,65,  -   ,$0.00 ,  -   ,  0.00 ,,,,,,,,,,,,,,,
Jul31,7/21/2031,,66,  -   ,$0.00 ,  -   ,  0.00 ,,,,,,,,,,,,,,,
Aug31,8/21/2031,,67,  -   ,$0.00 ,  -   ,  0.00 ,,,,,,,,,,,,,,,
Sep31,9/21/2031,,68,  -   ,$0.00 ,  -   ,  0.00 ,,,,,,,,,,,,,,,
Oct31,10/21/2031,,69,  -   ,$0.00 ,  -   ,  0.00 ,,,,,,,,,,,,,,,
Nov31,11/21/2031,,70,  -   ,$0.00 ,  -   ,  0.00 ,,,,,,,,,,,,,,,
Dec31,12/21/2031,,71,  -   ,$0.00 ,  -   ,  0.00 ,,,,,,,,,,,,,,,
Jan32,1/21/2032,,72,  -   ,$0.00 ,  -   ,  0.00 ,,,,,,,,,,,,,,,
Feb32,2/21/2032,,73,  -   ,$0.00 ,  -   ,  0.00 ,,,,,,,,,,,,,,,
Mar32,3/21/2032,,74,  -   ,$0.00 ,  -   ,  0.00 ,,,,,,,,,,,,,,,
Apr32,4/21/2032,,75,  -   ,$0.00 ,  -   ,  0.00 ,,,,,,,,,,,,,,,
May32,5/21/2032,,76,  -   ,$0.00 ,  -   ,  0.00 ,,,,,,,,,,,,,,,