20 Tractors,,,,,,,,,
,,,,,MH2,,,05-2983-000-000-00,
Debt Schedule-Master'!A1,,,,,,,  60.00 ,,
'Rolling Debt Schedule'!A1,,,,,,,"($17,533.17)",,
Loan #:,412932-105,,,,,,,,
Billing ID:,,,,84,9/3/2020,3.40%,,,
,,,,Payment,Princ,Int,"  966,175.00 ",Beg Bal,
,,,,"$12,941.28 ",,,"  966,175.00 ",,
,12/29/2020,,,,,,"  966,175.00 ",,
,1/29/2021,,1,"$12,941.28 ","  10,151.29 ","  2,790.00 ","  956,023.71 ", ML ,
,2/28/2021,,2,"  12,941.28 ","  10,269.66 ","  2,671.63 ","  945,754.06 ",,
,3/29/2021,,3,"  12,941.28 ","  10,386.45 ","  2,554.83 ","  935,367.60 ",,
,4/29/2021,,4,"  12,941.28 ","  10,240.25 ","  2,701.03 ","  925,127.35 ",,
,5/29/2021,,5,"  12,941.28 ","  10,356.00 ","  2,585.29 ","  914,771.36 ",,
,6/29/2021,,6,"  12,941.28 ","  10,299.73 ","  2,641.56 ","  904,471.63 ",,
,7/29/2021,,7,"  12,941.28 ","  10,413.72 ","  2,527.56 ","  894,057.91 ",,
,8/29/2021,,8,"  12,941.28 ","  10,359.54 ","  2,581.75 ","  883,698.37 ",,
,9/29/2021,,9,"  12,941.28 ","  10,389.45 ","  2,551.83 ","  873,308.92 ",,
,10/29/2021,,10,"  12,941.28 ","  10,500.80 ","  2,440.48 ","  862,808.11 ",,
,11/29/2021,,11,"  12,941.28 ","  10,449.78 ","  2,491.51 ","  852,358.34 ",,
,12/29/2021,,12,"  12,941.28 ","  10,559.35 ","  2,381.93 ","  841,798.99 ",,
,1/29/2022,,13,"  12,941.28 ","  10,510.45 ","  2,430.84 ","  831,288.54 ",,
,2/28/2022,,14,"  12,941.28 ","  10,618.23 ","  2,323.05 ","  820,670.31 ",,
,3/29/2022,,15,"  12,941.28 ","  10,724.35 ","  2,216.93 ","  809,945.96 ",,
,4/29/2022,,16,"  12,941.28 ","  10,602.43 ","  2,338.86 ","  799,343.53 ",,
,5/29/2022,,17,"  12,941.28 ","  10,707.50 ","  2,233.78 ","  788,636.03 ",,
,6/29/2022,,18,"  12,941.28 ","  10,663.96 ","  2,277.32 ","  777,972.07 ",,
,7/29/2022,,19,"  12,941.28 ","  10,767.23 ","  2,174.06 ","  767,204.84 ",,
,8/29/2022,,20,"  12,941.28 ","  10,725.85 ","  2,215.44 ","  756,478.99 ",,
,9/29/2022,,21,"  12,941.28 ","  10,756.82 ","  2,184.46 ","  745,722.17 ",,
,10/29/2022,,22,"  12,941.28 ","  10,857.35 ","  2,083.94 ","  734,864.82 ",,
,11/29/2022,,23,"  12,941.28 ","  10,819.24 ","  2,122.05 ","  724,045.59 ",,
,12/29/2022,,24,"  12,941.28 ","  10,917.92 ","  2,023.36 ","  713,127.66 ",,
,1/29/2023,,25,"  12,941.28 ","  10,882.01 ","  2,059.28 ","  702,245.66 ",,
,2/28/2023,,26,"  12,941.28 ","  10,978.84 ","  1,962.44 ","  691,266.81 ",,
,3/29/2023,,27,"  12,941.28 ","  11,073.92 ","  1,867.37 ","  680,192.90 ",,
,4/29/2023,,28,"  12,941.28 ","  10,977.11 ","  1,964.17 ","  669,215.79 ",,
,5/29/2023,,29,"  12,941.28 ","  11,071.15 ","  1,870.14 ","  658,144.64 ",,
,6/29/2023,,30,"  12,941.28 ","  11,040.78 ","  1,900.51 ","  647,103.86 ",,
,7/29/2023,,31,"  12,941.28 ","  11,132.94 ","  1,808.35 ","  635,970.92 ",,
,8/29/2023,,32,"  12,941.28 ","  11,104.81 ","  1,836.47 ","  624,866.11 ",,
,9/29/2023,,33,"  12,941.28 ","  11,136.88 ","  1,804.41 ","  613,729.24 ",,
,10/29/2023,,34,"  12,941.28 ","  11,226.21 ","  1,715.08 ","  602,503.03 ",,
,11/29/2023,,35,"  12,941.28 ","  11,201.45 ","  1,739.83 ","  591,301.58 ",,
,12/29/2023,,36,"  12,941.28 ","  11,288.88 ","  1,652.40 ","  580,012.70 ",,
,1/29/2024,,37,"  12,941.28 ","  11,266.40 ","  1,674.89 ","  568,746.30 ",,
,2/29/2024,,38,"  12,941.28 ","  11,298.93 ","  1,642.35 ","  557,447.37 ",  (136.48), Voucher Correction 
,3/29/2024,,39,"  12,941.28 ","  11,435.41 ","  1,505.87 ","  546,011.96 ",,
,4/29/2024,,40,"  12,941.28 ","  11,364.58 ","  1,576.70 ","  534,647.37 ",,
,5/29/2024,,41,"  12,941.28 ","  11,447.20 ","  1,494.08 ","  523,200.17 ",,
,6/29/2024,,42,"  12,941.28 ","  11,430.45 ","  1,510.83 ","  511,769.72 ",,
,7/29/2024,,43,"  12,941.28 ","  11,511.13 ","  1,430.15 ","  500,258.59 ",,
,8/29/2024,,44,"  12,941.28 ","  11,496.70 ","  1,444.58 ","  488,761.88 ",,
,9/29/2024,,45,"  12,941.28 ","  11,529.90 ","  1,411.38 ","  477,231.98 ",,
,10/29/2024,,46,"  1,352.03 ",  -   ,"  1,352.03 ","  477,231.98 ",,
,11/29/2024,,47,"  1,352.03 ",  -   ,"  1,352.03 ","  477,231.98 ",,
,12/29/2024,,48,"  1,352.03 ",  -   ,"  1,352.03 ","  477,231.98 ", pd via wire 12/30 ,
Jan25,1/29/2025,,49,"  12,941.28 ","  11,563.20 ","  1,378.09 ","  465,668.79 ", Bank didn’t draw payment . Hence Bank waa contacted 02.03.25 ,
Feb25,2/28/2025,,50,"  12,941.28 ","  11,639.96 ","  1,301.32 ","  454,028.83 ",,
Mar25,3/29/2025,,51,"  12,941.28 ","  11,714.78 ","  1,226.50 ","  442,314.04 ",,
Apr25,4/29/2025,,52,"  12,941.28 ","  11,664.03 ","  1,277.26 ","  430,650.02 ",,
May25,5/29/2025,,53,"  12,941.28 ","  11,737.82 ","  1,203.46 ","  418,912.19 ",,
Jun25,6/29/2025,,54,"  12,941.28 ","  11,731.60 ","  1,209.68 ","  407,180.59 ",,
Jul25,7/29/2025,,55,"  12,941.28 ","  11,803.41 ","  1,137.87 ","  395,377.18 ",,
Aug25,8/29/2025,,56,"  12,941.28 ","  11,799.56 ","  1,141.72 ","  383,577.61 ",,
Sep25,9/29/2025,,57,"  12,941.28 ","  11,833.64 ","  1,107.65 ","  371,743.98 ",,
Oct25,10/29/2025,,58,"  12,941.28 ","  11,902.44 ","  1,038.85 ","  359,841.54 ",,
Nov25,11/29/2025,,59,"  12,941.28 ","  11,902.18 ","  1,039.10 ","  347,939.36 ",,
Dec25,12/29/2025,,60,"  12,941.28 ","  11,968.96 ",  972.32 ,"  335,970.40 ",,
Jan26,1/29/2026,,61,"  12,941.28 ","  11,971.11 ",  970.17 ,"  323,999.28 ",,
Feb26,2/28/2026,,62,"  12,941.28 ","  12,035.86 ",  905.42 ,"  311,963.42 ",,
Mar26,3/29/2026,,63,"  12,941.28 ","  12,098.56 ",  842.73 ,"  299,864.87 ",,
Apr26,4/29/2026,,64,"  12,941.28 ","  12,075.37 ",  865.91 ,"  287,789.49 ",,
May26,5/29/2026,,65,"  12,941.28 ","  12,137.05 ",  804.23 ,"  275,652.44 ",,
Jun26,6/29/2026,,66,"  12,941.28 ","  12,145.29 ",  795.99 ,"  263,507.15 ",,
Jul26,7/29/2026,,67,"  12,941.28 ","  12,204.91 ",  736.38 ,"  251,302.25 ",,
Aug26,8/29/2026,,68,"  12,941.28 ","  12,215.61 ",  725.68 ,"  239,086.64 ",,
Sep26,9/29/2026,,69,"  12,941.28 ","  12,250.88 ",  690.40 ,"  226,835.76 ",,
Oct26,10/29/2026,,70,"  12,941.28 ","  12,307.39 ",  633.90 ,"  214,528.37 ",,
Nov26,11/29/2026,,71,"  12,941.28 ","  12,321.80 ",  619.49 ,"  202,206.58 ",,
Dec26,12/29/2026,,72,"  12,941.28 ","  12,376.21 ",  565.07 ,"  189,830.36 ",,
Jan27,1/29/2027,,73,"  12,941.28 ","  12,393.12 ",  548.17 ,"  177,437.25 ",,
Feb27,2/28/2027,,74,"  12,941.28 ","  12,445.43 ",  495.85 ,"  164,991.81 ",,
Mar27,3/29/2027,,75,"  12,941.28 ","  12,495.58 ",  445.70 ,"  152,496.23 ",,
Apr27,4/29/2027,,76,"  12,941.28 ","  12,500.93 ",  440.36 ,"  139,995.31 ",,
May27,5/29/2027,,77,"  12,941.28 ","  12,550.06 ",  391.22 ,"  127,445.24 ",,
Jun27,6/29/2027,,78,"  12,941.28 ","  12,573.26 ",  368.02 ,"  114,871.98 ",,
Jul27,7/29/2027,,79,"  12,941.28 ","  12,620.27 ",  321.01 ,"  102,251.71 ",,
Aug27,8/29/2027,,80,"  12,941.28 ","  12,646.01 ",  295.27 ,"  89,605.69 ",,
Sep27,9/29/2027,,81,"  12,941.28 ","  12,682.53 ",  258.75 ,"  76,923.16 ",,
Oct27,10/29/2027,,82,"  12,941.28 ","  12,726.32 ",  214.96 ,"  64,196.84 ",,
Nov27,11/29/2027,,83,"  12,941.28 ","  12,755.90 ",  185.38 ,"  51,440.94 ",,
Dec27,12/29/2027,,84,"  12,941.28 ","  12,797.53 ",  143.75 ,"  38,643.40 ",,
Jan28,1/29/2028,,85,"  12,941.28 ","  12,829.69 ",  111.59 ,"  25,813.71 ",,
Feb28,2/29/2028,,86,"  12,941.28 ","  12,866.74 ",  74.54 ,"  12,946.97 ",,
Mar28,3/29/2028,,87,"  12,981.94 ","  12,946.97 ",  34.97 ,  -   ,,
Apr28,4/29/2028,,88,  -   ,  -   ,  -   ,  -   ,,
May28,5/29/2028,,89,  -   ,  -   ,  -   ,  -   ,,
Jun28,6/29/2028,,90,  -   ,  -   ,  -   ,  -   ,,
Jul28,7/29/2028,,91,  -   ,  -   ,  -   ,  -   ,,
Aug28,8/29/2028,,92,  -   ,  -   ,  -   ,  -   ,,
Sep28,9/29/2028,,93,  -   ,  -   ,  -   ,  -   ,,
Oct28,10/29/2028,,94,  -   ,  -   ,  -   ,  -   ,,