25 Trailers units 53439 - 53473,,,,,,,,05-2981-000-000-00
,,,,,MH2,,,
Debt Schedule-Master'!A1,,,,,,,  84.00 ,
'Rolling Debt Schedule'!A1,,,,,,,"($13,025.20)",
Loan #:,412932-105,,,,,,,
Billing ID:,,,,84,11/5/2020,3.58%,,
,,,,Payment,Princ,Int,"  966,525.00 ",Beg Bal
,,,,"$13,025.20 ",,,"  966,525.00 ",
,10/31/2020,,,,,,"  966,525.00 ",
,11/5/2020,,,,,,"  966,525.00 ",
,12/5/2020,,1,"  13,061.21 ","  9,697.17 ","  3,364.04 ","  956,827.83 ", ML 
,1/5/2021,,2,"  13,061.21 ","  10,111.52 ","  2,949.69 ","  946,716.31 ",
,2/5/2021,,3,"  13,061.21 ","  10,142.69 ","  2,918.52 ","  936,573.62 ",
,3/5/2021,,4,"  13,061.21 ","  10,453.37 ","  2,607.84 ","  926,120.24 ",
,4/5/2021,,5,"  13,061.21 ","  10,206.19 ","  2,855.02 ","  915,914.06 ",
,5/5/2021,,6,"  13,061.21 ","  10,328.73 ","  2,732.48 ","  905,585.32 ",
,6/5/2021,,7,"  13,061.21 ","  10,269.49 ","  2,791.72 ","  895,315.83 ",
,7/5/2021,,8,"  13,061.21 ","  10,390.18 ","  2,671.03 ","  884,925.65 ",
,8/5/2021,,9,"  13,061.21 ","  10,333.18 ","  2,728.03 ","  874,592.47 ",
,9/5/2021,,10,"  13,061.21 ","  10,365.04 ","  2,696.17 ","  864,227.43 ",
,10/5/2021,,11,"  13,061.21 ","  10,482.93 ","  2,578.28 ","  853,744.50 ",
,11/5/2021,,12,"  13,061.21 ","  10,429.31 ","  2,631.90 ","  843,315.19 ",
,12/5/2021,,13,"  13,061.21 ","  10,545.32 ","  2,515.89 ","  832,769.88 ",
,1/5/2022,,14,"  13,061.21 ","  10,493.97 ","  2,567.24 ","  822,275.91 ",
,2/5/2022,,15,"  13,061.21 ","  10,526.32 ","  2,534.89 ","  811,749.59 ",
,3/5/2022,,16,"  13,061.21 ","  10,800.94 ","  2,260.27 ","  800,948.66 ",
,4/5/2022,,17,"  13,061.21 ","  10,592.06 ","  2,469.15 ","  790,356.59 ",
,5/5/2022,,18,"  13,061.21 ","  10,703.31 ","  2,357.90 ","  779,653.28 ",
,6/5/2022,,19,"  13,061.21 ","  10,657.71 ","  2,403.50 ","  768,995.57 ",
,7/5/2022,,20,"  13,061.21 ","  10,767.04 ","  2,294.17 ","  758,228.53 ",
,8/5/2022,,21,"  13,061.21 ","  10,723.76 ","  2,337.45 ","  747,504.77 ",
,9/5/2022,,22,"  13,061.21 ","  10,756.82 ","  2,304.39 ","  736,747.95 ",
,10/5/2022,,23,"  13,061.21 ","  10,863.25 ","  2,197.96 ","  725,884.70 ",
,11/5/2022,,24,"  13,061.21 ","  10,823.47 ","  2,237.74 ","  715,061.23 ",
,12/5/2022,,25,"  13,061.21 ","  10,927.94 ","  2,133.27 ","  704,133.29 ",
,1/5/2023,,26,"  13,061.21 ","  10,890.52 ","  2,170.69 ","  693,242.77 ",
,2/5/2023,,27,"  13,061.21 ","  10,924.10 ","  2,137.11 ","  682,318.67 ",
,3/5/2023,,28,"  13,061.21 ","  11,161.33 ","  1,899.88 ","  671,157.34 ",
,4/5/2023,,29,"  13,061.21 ","  10,992.18 ","  2,069.03 ","  660,165.16 ",
,5/5/2023,,30,"  13,061.21 ","  11,091.72 ","  1,969.49 ","  649,073.44 ",
,6/5/2023,,31,"  13,061.21 ","  11,060.26 ","  2,000.95 ","  638,013.18 ",
,7/5/2023,,32,"  13,061.21 ","  11,157.80 ","  1,903.41 ","  626,855.38 ",
,8/5/2023,,33,"  13,061.21 ","  11,128.75 ","  1,932.46 ","  615,726.62 ",
,9/5/2023,,34,"  13,061.21 ","  11,163.06 ","  1,898.15 ","  604,563.56 ",
,10/5/2023,,35,"  13,061.21 ","  11,257.60 ","  1,803.61 ","  593,305.96 ",
,11/5/2023,,36,"  13,061.21 ","  11,232.18 ","  1,829.03 ","  582,073.78 ",
,12/5/2023,,37,"  13,061.21 ","  11,324.69 ","  1,736.52 ","  570,749.09 ",
,1/5/2024,,38,"  13,061.21 ","  11,301.72 ","  1,759.49 ","  559,447.38 ",
,2/5/2024,,39,"  13,061.21 ","  11,336.56 ","  1,724.65 ","  548,110.82 ",
,3/5/2024,,40,"  13,061.21 ","  11,480.52 ","  1,580.69 ","  536,630.30 ",
,4/5/2024,,41,"  13,061.21 ","  11,406.90 ","  1,654.31 ","  525,223.40 ",
,5/5/2024,,42,"  13,061.21 ","  11,494.29 ","  1,566.92 ","  513,729.11 ",
,6/5/2024,,43,"  13,061.21 ","  11,477.50 ","  1,583.71 ","  502,251.61 ",
,7/5/2024,,44,"  13,061.21 ","  11,562.83 ","  1,498.38 ","  490,688.78 ",
,8/5/2024,,45,"  13,061.21 ","  11,548.53 ","  1,512.68 ","  479,140.26 ",
,9/5/2024,,46,"  13,061.21 ","  11,584.13 ","  1,477.08 ","  467,556.13 ",
,10/5/2024,,47,"  13,061.21 ","  11,666.33 ","  1,394.88 ","  455,889.80 ",
,11/5/2024,,48,"  13,061.21 ","  11,655.80 ","  1,405.41 ","  444,234.00 ",
,12/5/2024,,49,"  13,061.21 ","  11,735.91 ","  1,325.30 ","  432,498.08 ",
Jan25,1/5/2025,,50,"  13,061.21 ","  11,727.91 ","  1,333.30 ","  420,770.17 ",
Feb25,2/5/2025,,51,"  13,061.21 ","  11,764.07 ","  1,297.14 ","  409,006.10 ",
Mar25,3/5/2025,,52,"  13,061.21 ","  11,922.36 ","  1,138.85 ","  397,083.74 ",
Apr25,4/5/2025,,53,"  13,061.21 ","  11,837.09 ","  1,224.12 ","  385,246.66 ",
May25,5/5/2025,,54,"  13,061.21 ","  11,911.89 ","  1,149.32 ","  373,334.76 ",
Jun25,6/5/2025,,55,"  13,061.21 ","  11,910.30 ","  1,150.91 ","  361,424.46 ",
Jul25,7/5/2025,,56,"  13,061.21 ","  11,982.96 ","  1,078.25 ","  349,441.50 ",
Aug25,8/5/2025,,57,"  13,061.21 ","  11,983.96 ","  1,077.25 ","  337,457.54 ",
Sep25,9/5/2025,,58,"  13,061.21 ","  12,020.90 ","  1,040.31 ","  325,436.64 ",
Oct25,10/5/2025,,59,"  13,061.21 ","  12,090.32 ",  970.89 ,"  313,346.32 ",
Nov25,11/5/2025,,60,"  13,061.21 ","  12,095.23 ",  965.98 ,"  301,251.08 ",
Dec25,12/5/2025,,61,"  13,061.21 ","  12,162.48 ",  898.73 ,"  289,088.60 ",
Jan26,1/5/2026,,62,"  13,061.21 ","  12,170.01 ",  891.20 ,"  276,918.59 ",
Feb26,2/5/2026,,63,"  13,061.21 ","  12,207.53 ",  853.68 ,"  264,711.06 ",
Mar26,3/5/2026,,64,"  13,061.21 ","  12,324.14 ",  737.07 ,"  252,386.92 ",
Apr26,4/5/2026,,65,"  13,061.21 ","  12,283.16 ",  778.05 ,"  240,103.77 ",
May26,5/5/2026,,66,"  13,061.21 ","  12,344.90 ",  716.31 ,"  227,758.86 ",
Jun26,6/5/2026,,67,"  13,061.21 ","  12,359.08 ",  702.13 ,"  215,399.78 ",
Jul26,7/5/2026,,68,"  13,061.21 ","  12,418.60 ",  642.61 ,"  202,981.18 ",
Aug26,8/5/2026,,69,"  13,061.21 ","  12,435.46 ",  625.75 ,"  190,545.72 ",
Sep26,9/5/2026,,70,"  13,061.21 ","  12,473.80 ",  587.41 ,"  178,071.92 ",
Oct26,10/5/2026,,71,"  13,061.21 ","  12,529.96 ",  531.25 ,"  165,541.96 ",
Nov26,11/5/2026,,72,"  13,061.21 ","  12,550.88 ",  510.33 ,"  152,991.08 ",
Dec26,12/5/2026,,73,"  13,061.21 ","  12,604.79 ",  456.42 ,"  140,386.29 ",
Jan27,1/5/2027,,74,"  13,061.21 ","  12,628.43 ",  432.78 ,"  127,757.86 ",
Feb27,2/5/2027,,75,"  13,061.21 ","  12,667.36 ",  393.85 ,"  115,090.50 ",
Mar27,3/5/2027,,76,"  13,061.21 ","  12,740.75 ",  320.46 ,"  102,349.75 ",
Apr27,4/5/2027,,77,"  13,061.21 ","  12,745.69 ",  315.52 ,"  89,604.06 ",
May27,5/5/2027,,78,"  13,061.21 ","  12,793.89 ",  267.32 ,"  76,810.17 ",
Jun27,6/5/2027,,79,"  13,061.21 ","  12,824.42 ",  236.79 ,"  63,985.75 ",
Jul27,7/5/2027,,80,"  13,061.21 ","  12,870.32 ",  190.89 ,"  51,115.43 ",
Aug27,8/5/2027,,81,"  13,061.21 ","  12,903.63 ",  157.58 ,"  38,211.80 ",
Sep27,9/5/2027,,82,"  13,061.21 ","  12,943.41 ",  117.80 ,"  25,268.39 ",
Oct27,10/5/2027,,83,"  13,061.21 ","  12,985.83 ",  75.38 ,"  12,282.56 ",
Nov27,11/5/2027,,84,"  12,320.43 ","  12,282.57 ",  37.86 ,  (0.00),
Dec27,12/5/2027,,85,  -   ,  0.00 ,  (0.00),  (0.00),