25 Utility Trailers,,,,Peapack Capital,,05-2986-001,,
,,,,,,,,
Debt Schedule-Master'!A1,,,,,,,,
'Rolling Debt Schedule'!A1,,,,,,,,
Loan #:,,,,,,,,
Billing ID:,,,,84,,6.19%,,
,,,,Payment,Princ,Int,"  1,302,600.00 ",Beg Bal
,,,,"$19,147.16 ",,,,
,7/22/2024,,,,,,"  1,302,600.00 ",
,8/22/2024,,1,"  19,147.18 ","  12,300.51 ","  6,846.67 ","  1,290,299.49 ", ML 
,9/22/2024,,2,"  19,147.18 ","  12,365.16 ","  6,782.02 ","  1,277,934.32 ",
,10/22/2024,,3,  -   ,  -   ,  -   ,"  1,277,934.32 ",
,11/22/2024,,4,  -   ,  -   ,  -   ,"  1,277,934.32 ",
,12/22/2024,,5,  -   ,  -   ,  -   ,"  1,277,934.32 ",
Jan25,1/22/2025,,6,"  19,147.18 ",  -   ,"  19,147.18 ","  1,277,934.32 ",
Feb25,2/22/2025,,7,"  77,482.55 ","  63,477.97 ","  14,004.58 ","  1,214,456.35 ",
Mar25,3/22/2025,,8,"  19,147.18 ","  13,381.55 ","  5,765.63 ","  1,201,074.80 ",
Apr25,4/22/2025,,9,"  19,147.18 ","  12,834.14 ","  6,313.04 ","  1,188,240.65 ",
May25,5/22/2025,,10,"  19,147.18 ","  13,103.07 ","  6,044.11 ","  1,175,137.58 ",
Jun25,6/22/2025,,11,"  19,147.18 ","  12,970.47 ","  6,176.71 ","  1,162,167.11 ",
Jul25,7/22/2025,,12,"  19,147.18 ","  13,235.70 ","  5,911.48 ","  1,148,931.41 ",
Aug25,8/22/2025,,13,"  19,147.18 ","  13,108.22 ","  6,038.96 ","  1,135,823.19 ",
Sep25,9/22/2025,,14,"  19,147.18 ","  13,177.12 ","  5,970.06 ","  1,122,646.08 ",
Oct25,10/22/2025,,15,"  19,147.18 ","  13,436.73 ","  5,710.45 ","  1,109,209.35 ",
Nov25,11/22/2025,,16,"  19,147.18 ","  13,317.00 ","  5,830.18 ","  1,095,892.35 ",
Dec25,12/22/2025,,17,"  19,147.18 ","  13,572.81 ","  5,574.37 ","  1,082,319.54 ",
Jan26,1/22/2026,,18,"  19,147.18 ","  13,458.34 ","  5,688.84 ","  1,068,861.20 ",
Feb26,2/22/2026,,19,"  19,147.18 ","  13,529.08 ","  5,618.10 ","  1,055,332.12 ",
Mar26,3/22/2026,,20,"  19,147.18 ","  14,137.00 ","  5,010.18 ","  1,041,195.13 ",
Apr26,4/22/2026,,21,"  19,147.18 ","  13,674.50 ","  5,472.68 ","  1,027,520.63 ",
May26,5/22/2026,,22,"  19,147.18 ","  13,920.59 ","  5,226.59 ","  1,013,600.04 ",
Jun26,6/22/2026,,23,"  19,147.18 ","  13,819.54 ","  5,327.64 ","  999,780.50 ",
Jul26,7/22/2026,,24,"  19,147.18 ","  14,061.69 ","  5,085.49 ","  985,718.81 ",
Aug26,8/22/2026,,25,"  19,147.18 ","  13,966.09 ","  5,181.09 ","  971,752.72 ",
Sep26,9/22/2026,,26,"  19,147.18 ","  14,039.50 ","  5,107.68 ","  957,713.22 ",
Oct26,10/22/2026,,27,"  19,147.18 ","  14,275.67 ","  4,871.51 ","  943,437.55 ",
Nov26,11/22/2026,,28,"  19,147.18 ","  14,188.32 ","  4,958.86 ","  929,249.22 ",
Dec26,12/22/2026,,29,"  19,147.18 ","  14,420.46 ","  4,726.72 ","  914,828.76 ",
Jan27,1/22/2027,,30,"  19,147.18 ","  14,338.70 ","  4,808.48 ","  900,490.07 ",
Feb27,2/22/2027,,31,"  19,147.18 ","  14,414.06 ","  4,733.12 ","  886,076.00 ",
Mar27,3/22/2027,,32,"  19,147.18 ","  14,940.54 ","  4,206.64 ","  871,135.47 ",
Apr27,4/22/2027,,33,"  19,147.18 ","  14,568.36 ","  4,578.82 ","  856,567.11 ",
May27,5/22/2027,,34,"  19,147.18 ","  14,790.16 ","  4,357.02 ","  841,776.95 ",
Jun27,6/22/2027,,35,"  19,147.18 ","  14,722.67 ","  4,424.51 ","  827,054.28 ",
Jul27,7/22/2027,,36,"  19,147.18 ","  14,940.28 ","  4,206.90 ","  812,113.99 ",
Aug27,8/22/2027,,37,"  19,147.18 ","  14,878.58 ","  4,268.60 ","  797,235.41 ",
Sep27,9/22/2027,,38,"  19,147.18 ","  14,956.79 ","  4,190.39 ","  782,278.63 ",
Oct27,10/22/2027,,39,"  19,147.18 ","  15,168.04 ","  3,979.14 ","  767,110.59 ",
Nov27,11/22/2027,,40,"  19,147.18 ","  15,115.13 ","  4,032.05 ","  751,995.46 ",
Dec27,12/22/2027,,41,"  19,147.18 ","  15,322.08 ","  3,825.10 ","  736,673.38 ",
Jan28,1/22/2028,,42,"  19,147.18 ","  15,275.11 ","  3,872.07 ","  721,398.27 ",
Feb28,2/22/2028,,43,"  19,147.18 ","  15,355.40 ","  3,791.78 ","  706,042.87 ",
Mar28,3/22/2028,,44,"  19,147.18 ","  15,675.53 ","  3,471.65 ","  690,367.34 ",
Apr28,4/22/2028,,45,"  19,147.18 ","  15,518.50 ","  3,628.68 ","  674,848.84 ",
May28,5/22/2028,,46,"  19,147.18 ","  15,714.49 ","  3,432.69 ","  659,134.35 ",
Jun28,6/22/2028,,47,"  19,147.18 ","  15,682.67 ","  3,464.51 ","  643,451.68 ",
Jul28,7/22/2028,,48,"  19,147.18 ","  15,874.20 ","  3,272.98 ","  627,577.48 ",
Aug28,8/22/2028,,49,"  19,147.18 ","  15,848.53 ","  3,298.65 ","  611,728.95 ",
Sep28,9/22/2028,,50,"  19,147.18 ","  15,931.84 ","  3,215.34 ","  595,797.11 ",
Oct28,10/22/2028,,51,"  19,147.18 ","  16,116.60 ","  3,030.58 ","  579,680.52 ",
Nov28,11/22/2028,,52,"  19,147.18 ","  16,100.29 ","  3,046.89 ","  563,580.23 ",
Dec28,12/22/2028,,53,"  19,147.18 ","  16,280.47 ","  2,866.71 ","  547,299.76 ",
Jan29,1/22/2029,,54,"  19,147.18 ","  16,270.49 ","  2,876.69 ","  531,029.27 ",
Feb29,2/22/2029,,55,"  19,147.18 ","  16,356.01 ","  2,791.17 ","  514,673.26 ",
Mar29,3/22/2029,,56,"  19,147.18 ","  16,703.77 ","  2,443.41 ","  497,969.49 ",
Apr29,4/22/2029,,57,"  19,147.18 ","  16,529.77 ","  2,617.41 ","  481,439.72 ",
May29,5/22/2029,,58,"  19,147.18 ","  16,698.29 ","  2,448.89 ","  464,741.43 ",
Jun29,6/22/2029,,59,"  19,147.18 ","  16,704.43 ","  2,442.75 ","  448,037.00 ",
Jul29,7/22/2029,,60,"  19,147.18 ","  16,868.19 ","  2,278.99 ","  431,168.81 ",
Aug29,8/22/2029,,61,"  19,147.18 ","  16,880.89 ","  2,266.29 ","  414,287.92 ",
Sep29,9/22/2029,,62,"  19,147.18 ","  16,969.62 ","  2,177.56 ","  397,318.30 ",
Oct29,10/22/2029,,63,"  19,147.18 ","  17,126.18 ","  2,021.00 ","  380,192.12 ",
Nov29,11/22/2029,,64,"  19,147.18 ","  17,148.83 ","  1,998.35 ","  363,043.29 ",
Dec29,12/22/2029,,65,"  19,147.18 ","  17,300.52 ","  1,846.66 ","  345,742.77 ",
Jan30,1/22/2030,,66,"  19,147.18 ","  17,329.90 ","  1,817.28 ","  328,412.87 ",
Feb30,2/22/2030,,67,"  19,147.18 ","  17,420.99 ","  1,726.19 ","  310,991.88 ",
Mar30,3/22/2030,,68,"  19,147.18 ","  17,670.75 ","  1,476.43 ","  293,321.13 ",
Apr30,4/22/2030,,69,"  19,147.18 ","  17,605.44 ","  1,541.74 ","  275,715.69 ",
May30,5/22/2030,,70,"  19,147.18 ","  17,744.72 ","  1,402.46 ","  257,970.97 ",
Jun30,6/22/2030,,71,"  19,147.18 ","  17,791.24 ","  1,355.94 ","  240,179.72 ",
Jul30,7/22/2030,,72,"  19,147.18 ","  17,925.48 ","  1,221.70 ","  222,254.24 ",
Aug30,8/22/2030,,73,"  19,147.18 ","  17,978.98 ","  1,168.20 ","  204,275.26 ",
Sep30,9/22/2030,,74,"  19,147.18 ","  18,073.48 ","  1,073.70 ","  186,201.79 ",
Oct30,10/22/2030,,75,"  19,147.18 ","  18,200.05 ",  947.13 ,"  168,001.74 ",
Nov30,11/22/2030,,76,"  19,147.18 ","  18,264.14 ",  883.04 ,"  149,737.60 ",
Dec30,12/22/2030,,77,"  19,147.18 ","  18,385.52 ",  761.66 ,"  131,352.08 ",
Jan31,1/22/2031,,78,"  19,147.18 ","  18,456.77 ",  690.41 ,"  112,895.31 ",
Feb31,2/22/2031,,79,"  19,147.18 ","  18,553.78 ",  593.40 ,"  94,341.52 ",
Mar31,3/22/2031,,80,"  19,147.18 ","  18,699.29 ",  447.89 ,"  75,642.23 ",
Apr31,4/22/2031,,81,"  19,147.18 ","  18,749.59 ",  397.59 ,"  56,892.64 ",
May31,5/22/2031,,82,"  19,147.18 ","  18,857.79 ",  289.39 ,"  38,034.85 ",
Jun31,6/22/2031,,83,"  19,147.18 ","  18,947.26 ",  199.92 ,"  19,087.58 ",
Jul31,7/22/2031,,84,"  19,184.67 ","  19,087.58 ",  97.09 ,  -   ,
Aug31,8/22/2031,,85,  -   ,  -   ,  -   ,  -   ,
Sep31,9/22/2031,,86,  -   ,  -   ,  -   ,  -   ,
Oct31,10/22/2031,,87,  -   ,  -   ,  -   ,  -   ,
Nov31,11/22/2031,,88,  -   ,  -   ,  -   ,  -   ,
Dec31,12/22/2031,,89,  -   ,  -   ,  -   ,  -   ,
Jan32,1/22/2032,,90,  -   ,  -   ,  -   ,  -   ,
Feb32,2/22/2032,,91,  -   ,  -   ,  -   ,  -   ,
Mar32,3/22/2032,,92,  -   ,  -   ,  -   ,  -   ,
Apr32,4/22/2032,,93,  -   ,  -   ,  -   ,  -   ,
May32,5/22/2032,,94,  -   ,  -   ,  -   ,  -   ,
Jun32,6/22/2032,,95,  -   ,  -   ,  -   ,  -   ,