,Debt Schedule-Master'!A1,,,10-2925-000-000-00,,
,'Rolling Debt Schedule'!A1,,,,,
,,,,,,
,Solar Project Payments - MH5 Harrison,,,,Term,40 months
,Monthly Payment,,"$11,544.21 ",,Loan,"$461,768.59 "
,,,,,,
,Date,Period,Payment,Interest,Principal,Balance
,12/1/2023,1,"$11,544.21 ",$0.00 ,"$11,544.21 ","$450,224.38 "
,1/1/2024,2,"$11,544.21 ",$0.00 ,"$11,544.21 ","$438,680.17 "
,2/1/2024,3,"$11,544.21 ",$0.00 ,"$11,544.21 ","$427,135.96 "
,3/1/2024,4,"$11,544.21 ",$0.00 ,"$11,544.21 ","$415,591.75 "
,4/1/2024,5,"$11,544.21 ",$0.00 ,"$11,544.21 ","$404,047.54 "
,5/1/2024,6,"$11,544.21 ",$0.00 ,"$11,544.21 ","$392,503.33 "
,6/1/2024,7,"$11,544.21 ",$0.00 ,"$11,544.21 ","$380,959.12 "
,7/1/2024,8,"$11,544.21 ",$0.00 ,"$11,544.21 ","$369,414.91 "
,8/1/2024,9,"$11,544.21 ",$0.00 ,"$11,544.21 ","$357,870.70 "
,9/1/2024,10,"$11,544.21 ",$0.00 ,"$11,544.21 ","$346,326.49 "
,10/1/2024,11,"$11,544.21 ",$0.00 ,"$11,544.21 ","$334,782.28 "
,11/1/2024,12,"$11,544.21 ",$0.00 ,"$11,544.21 ","$323,238.07 "
,12/1/2024,13,"$11,544.21 ",$0.00 ,"$11,544.21 ","$311,693.86 "
Jan25,1/1/2025,14,"$11,544.21 ",$0.00 ,"$11,544.21 ","$300,149.65 "
Feb25,2/1/2025,15,"$11,544.21 ",$0.00 ,"$11,544.21 ","$288,605.44 "
Mar25,3/1/2025,16,"$11,544.21 ",$0.00 ,"$11,544.21 ","$277,061.23 "
Apr25,4/1/2025,17,"$11,544.21 ",$0.00 ,"$11,544.21 ","$265,517.02 "
May25,5/1/2025,18,"$11,544.21 ",$0.00 ,"$11,544.21 ","$253,972.81 "
Jun25,6/1/2025,19,"$11,544.21 ",$0.00 ,"$11,544.21 ","$242,428.60 "
Jul25,7/1/2025,20,"$11,544.21 ",$0.00 ,"$11,544.21 ","$230,884.39 "
Aug25,8/1/2025,21,"$11,544.21 ",$0.00 ,"$11,544.21 ","$219,340.18 "
Sep25,9/1/2025,22,"$11,544.21 ",$0.00 ,"$11,544.21 ","$207,795.97 "
Oct25,10/1/2025,23,"$11,544.21 ",$0.00 ,"$11,544.21 ","$196,251.76 "
Nov25,11/1/2025,24,"$11,544.21 ",$0.00 ,"$11,544.21 ","$184,707.55 "
Dec25,12/1/2025,25,"$11,544.21 ",$0.00 ,"$11,544.21 ","$173,163.34 "
Jan26,1/1/2026,26,"$11,544.21 ",$0.00 ,"$11,544.21 ","$161,619.13 "
Feb26,2/1/2026,27,"$11,544.21 ",$0.00 ,"$11,544.21 ","$150,074.92 "
Mar26,3/1/2026,28,"$11,544.21 ",$0.00 ,"$11,544.21 ","$138,530.71 "
Apr26,4/1/2026,29,"$11,544.21 ",$0.00 ,"$11,544.21 ","$126,986.50 "
May26,5/1/2026,30,"$11,544.21 ",$0.00 ,"$11,544.21 ","$115,442.29 "
Jun26,6/1/2026,31,"$11,544.21 ",$0.00 ,"$11,544.21 ","$103,898.08 "
Jul26,7/1/2026,32,"$11,544.21 ",$0.00 ,"$11,544.21 ","$92,353.87 "
Aug26,8/1/2026,33,"$11,544.21 ",$0.00 ,"$11,544.21 ","$80,809.66 "
Sep26,9/1/2026,34,"$11,544.21 ",$0.00 ,"$11,544.21 ","$69,265.45 "
Oct26,10/1/2026,35,"$11,544.21 ",$0.00 ,"$11,544.21 ","$57,721.24 "
Nov26,11/1/2026,36,"$11,544.21 ",$0.00 ,"$11,544.21 ","$46,177.03 "
Dec26,12/1/2026,37,"$11,544.21 ",$0.00 ,"$11,544.21 ","$34,632.82 "
Jan27,1/1/2027,38,"$11,544.21 ",$0.00 ,"$11,544.21 ","$23,088.61 "
Feb27,2/1/2027,39,"$11,544.21 ",$0.00 ,"$11,544.21 ","$11,544.40 "
Mar27,3/1/2027,40,"$11,544.40 ",$0.00 ,"$11,544.40 ",$0.00 
Apr27,4/1/2027,,0,$0.00 ,$0.00 ,0
May27,5/1/2027,,0,$0.00 ,$0.00 ,0
,6/1/2027,,0,$0.00 ,$0.00 ,0